"taxon","CLR_Wilcoxon","ALDEx2","ANCOM_BC2","MaAsLin2","n_methods"
"bacteroides_uniformis",1,1,1,1,4
"bifidobacterium_adolescentis",1,1,1,1,4
"bifidobacterium_longum",1,1,1,1,4
"clostridium_perfringens",1,1,1,1,4
"enterobacter",1,1,1,1,4
"enterococcus_faecalis",1,1,1,1,4
"escherichia_coli",1,1,1,1,4
"haemophilus_haemolyticus",1,1,1,1,4
"klebsiella_michiganensis",1,1,1,1,4
"klebsiella_oxytoca",1,1,1,1,4
"parabacteroides_distasonis",1,1,1,1,4
"phocaeicola_dorei",1,1,1,1,4
"phocaeicola_vulgatus",1,1,1,1,4
"streptococcus_parasanguinis",1,1,1,1,4
"veillonella_dispar",1,1,1,1,4
"bifidobacterium_breve",1,1,0,1,3
"collinsella_aerofaciens",0,1,1,1,3
"gemella_sanguinis",1,0,1,1,3
"haemophilus_parainfluenzae",1,1,0,1,3
"rothia_mucilaginosa",1,1,0,1,3
"staphylococcus_epidermidis",1,1,0,1,3
"staphylococcus_haemolyticus",1,0,1,1,3
"staphylococcus_hominis",1,1,1,0,3
"streptococcus_mitis",1,1,0,1,3
"streptococcus_thermophilus",1,0,1,1,3
"veillonella_infantium",1,1,0,1,3
"veillonella_parvula",1,1,0,1,3
"aeriscardovia_aeriphila",0,0,1,1,2
"bacteroides_fragilis",0,0,1,1,2
"bifidobacterium_bifidum",0,0,1,1,2
"klebsiella_quasipneumoniae",1,0,0,1,2
"staphylococcus_lugdunensis",0,0,1,1,2
"veillonella_atypica",1,0,0,1,2
"veillonella_sp_t11011-6",1,1,0,0,2
"gemella_haemolysans",0,0,0,1,1
"klebsiella_pneumoniae",1,0,0,0,1
"klebsiella_variicola",1,0,0,0,1
"streptococcus",0,0,1,0,1
"streptococcus_infantis",1,0,0,0,1
"streptococcus_salivarius",0,0,0,1,1
"streptococcus_vestibularis",1,0,0,0,1
"veillonella_sp_t11011_6",0,0,0,1,1
"staphylococcus_aureus",0,0,0,0,0
