"taxon","mean_imp","sd_imp","cv_imp"
"species:Escherichia coli",16.3902280212708,2.6349644940477,0.160764358532908
"species:Bifidobacterium longum",15.568443894108,1.64927240880488,0.105936882325732
"species:Phocaeicola vulgatus",14.6050758207621,0.704802211979879,0.0482573470093156
"species:Veillonella parvula",12.2181157327848,2.20893753057221,0.180791995990428
"species:Veillonella infantium",8.91568159701622,0.822813139021117,0.0922883046088687
"species:Haemophilus parainfluenzae",8.75951885513935,1.44378974853466,0.164825234400582
"species:Rothia mucilaginosa",8.74663525175413,2.31407242230843,0.264567157049832
"species:Parabacteroides distasonis",7.21747447387181,1.45042048958635,0.200959559308045
"species:Bacteroides uniformis",7.19046422077593,1.0741862573436,0.149390390434024
"species:Enterococcus faecalis",6.89136848180994,0.492474467003423,0.0714625068015635
"species:Veillonella dispar",6.80082808454407,0.729612474602769,0.107282887544375
"species:Bifidobacterium bifidum",6.3759449723975,1.14526837250851,0.179623315048445
"species:Clostridium perfringens",5.18589311943381,0.80827745399524,0.155860800710734
"species:Staphylococcus hominis",5.06743488736404,0.570743524231502,0.11262967101061
"species:Bifidobacterium breve",5.01981519310881,0.62055947143505,0.123621975623117
"species:Streptococcus mitis",4.77206880977706,0.728939803019808,0.152751318574106
"species:Veillonella sp. T11011-6",4.70110217864343,0.688691506975702,0.146495753720127
"species:Staphylococcus epidermidis",4.67516732943573,0.507236570551824,0.108495917859061
"species:Streptococcus salivarius",4.6171489720478,0.254353578668497,0.0550888828167236
"species:Streptococcus parasanguinis",4.55658786976373,0.303559000064433,0.066619806034855
"species:Bifidobacterium adolescentis",4.54543539920174,0.852101709357617,0.187463165686451
"species:Aeriscardovia aeriphila",4.3930955787081,0.60447787429541,0.137597250837227
"species:Bacteroides fragilis",4.10653675152129,0.373302099245349,0.0909043609818072
"genus:Enterobacter",3.97974937231822,0.394066041721975,0.099017803599132
"genus:Streptococcus",3.9505612308714,0.872985796393836,0.220977665039576
"species:Gemella haemolysans",3.68316753189377,0.219405934842524,0.0595699036067774
"species:Streptococcus vestibularis",3.62633102237252,0.146760962614609,0.0404709227340726
"species:Phocaeicola dorei",3.32454820478488,0.283118444033262,0.0851599756098533
"species:Streptococcus infantis",3.26061160089398,0.232038155925329,0.0711639975339933
"species:Staphylococcus lugdunensis",3.21374606432441,0.238216926485171,0.0741243775074831
"species:Staphylococcus haemolyticus",3.20461257275796,0.150548579795511,0.046978714704956
"species:Haemophilus haemolyticus",3.09599099134421,0.509521927263371,0.164574744787015
"species:Staphylococcus aureus",3.07457751014295,0.435903900375852,0.141776845416262
"species:Klebsiella pneumoniae",3.0260245737417,0.379390487776277,0.125375877997963
"species:Veillonella atypica",2.79142380839374,0.232553265596952,0.0833099097663601
"species:Gemella sanguinis",2.76754317798489,0.339639777111728,0.122722485348549
"species:Streptococcus thermophilus",2.69705261442507,0.186781396451132,0.0692538942147959
"species:Klebsiella variicola",2.66298543172719,0.189131528460499,0.0710223669296717
"species:Klebsiella quasipneumoniae",2.63207712163258,0.12097310161701,0.0459610778965225
"species:Klebsiella oxytoca",2.59551771056269,0.215189996079221,0.0829083135142892
"species:Klebsiella michiganensis",2.50020403255366,0.207084595352996,0.0828270783730736
"species:Collinsella aerofaciens",2.4440234155261,0.376744728288593,0.154149393944123
