"species","mean_vag","mean_elective","mean_emergency","elective_vs_vag","emergency_vs_vag","elective_vs_emergency","p_elec_vag","p_emerg_vag","p_elec_emerg","q_elec_vag","q_emerg_vag","q_elec_emerg","pattern"
"species:Bacteroides uniformis",3.56002824132186,0.0135107608089545,0.238522497255466,-3.54651748051291,-3.3215057440664,-0.225011736446511,8.40783025171254e-12,0.00192691268524953,0.113823400382669,2.83764270995298e-11,0.00325166515635858,0.534474335289812,"Similar"
"species:Bifidobacterium adolescentis",2.50324348105441,-0.0557856001562661,-0.129213248387858,-2.55902908121067,-2.63245672944226,0.0734276482315918,0.00028239788128406,0.186141025949017,0.196091967394814,0.000363082990222363,0.201032308024938,0.534474335289812,"Similar"
"species:Bifidobacterium longum",8.31978273384661,2.5853275994997,1.52503672331156,-5.73445513434691,-6.79474601053505,1.06029087618814,4.5667620477186e-20,2.06755617747018e-10,0.623696363615071,3.08256438221006e-19,2.79120083958475e-09,0.886305358821416,"Similar"
"species:Clostridium perfringens",1.76662308466891,4.05135191577441,3.88881665321315,2.2847288311055,2.12219356854424,0.162535262561261,1.42630929289567e-09,9.76341239411482e-07,0.333128307666916,3.20919590901525e-09,3.04968640324728e-06,0.691881869769749,"Similar"
"genus:Enterobacter",1.24375648964172,3.15683000393911,3.51786186221906,1.9130735142974,2.27410537257734,-0.361031858279944,1.58000227346022e-07,3.50097749723943e-06,0.172711177480074,3.28154318334046e-07,7.87719936878872e-06,0.534474335289812,"Similar"
"species:Enterococcus faecalis",7.57738187732155,10.271282369442,9.3622218031482,2.69390049212047,1.78483992582665,0.909060566293816,1.40148115335137e-10,0.000983948660769229,0.778325113738835,3.43999919458972e-10,0.00177110758938461,0.931109975855415,"Similar"
"species:Escherichia coli",9.62952047625416,3.83876979751132,3.44988176981122,-5.79075067874283,-6.17963870644294,0.388888027700106,4.00914432505225e-14,1.01656213441576e-06,0.964502519016685,1.80411494627351e-13,3.04968640324728e-06,0.964502519016685,"Similar"
"species:Haemophilus haemolyticus",0.38345702756688,1.61932777325805,0.908286098382774,1.23587074569117,0.524829070815894,0.711041674875275,2.90223238463838e-06,0.000256500812470861,0.553518862844105,4.89751714907727e-06,0.000494680138336661,0.830278294266158,"Quantitative_difference"
"species:Klebsiella michiganensis",0.778637329024092,1.66517292620429,2.98693529583615,0.886535597180197,2.20829796681206,-1.32176236963186,0.000228293762039034,7.47880273266333e-08,0.00121700543710265,0.000308196578752695,3.3654612296985e-07,0.0328591468017714,"Quantitative_difference"
"species:Klebsiella oxytoca",1.07624742899032,2.40858994307957,2.80784887943721,1.33234251408925,1.73160145044689,-0.399258936357639,6.80315021428513e-07,6.09589595024218e-06,0.121365541545227,1.31203611275499e-06,1.26607069735799e-05,0.534474335289812,"Similar"
"species:Parabacteroides distasonis",3.73501587932123,-0.00826207298944464,0.495310295454844,-3.74327795231067,-3.23970558386638,-0.503572368444289,5.02244454974262e-11,0.00293006555917828,0.197953457514745,1.50673336492279e-10,0.00465363353516551,0.534474335289812,"Similar"
"species:Phocaeicola dorei",2.79843495145022,-0.000679587884271168,0.0696032874433279,-2.79911453933449,-2.72883166400689,-0.0702828753275991,8.40224031212704e-06,0.0800839536696124,0.18985886758238,1.33447346133782e-05,0.098284852230888,0.534474335289812,"Similar"
"species:Phocaeicola vulgatus",4.81358604089215,-0.0689439806378368,0.0616489008918216,-4.88253002152998,-4.75193714000032,-0.130592881529658,1.77177418869025e-19,2.80952854103775e-06,0.143979404423859,9.56758061892736e-19,6.89611550981994e-06,0.534474335289812,"Similar"
"species:Streptococcus parasanguinis",8.10402457462824,8.84067748115807,8.70565527943024,0.736652906529828,0.601630704802,0.135022201727828,0.000549151575175433,0.0173843788325991,0.68560452496679,0.000644656196945073,0.0260765682488987,0.925566108705167,"Similar"
"species:Veillonella dispar",1.8393586745038,4.91312258719942,4.22415727651364,3.07376391269561,2.38479860200984,0.688965310685779,0,2.90538482161651e-09,0.834776243355503,0,1.96113475459114e-08,0.939123273774941,"Similar"
"species:Bifidobacterium breve",5.12761022228274,2.74714016422945,2.11803481943688,-2.38047005805329,-3.00957540284586,0.629105344792568,0.00249255181495142,0.025228361954323,0.793167757210168,0.00280412079182035,0.034058288638336,0.931109975855415,"Similar"
"species:Collinsella aerofaciens",2.60285877507475,0.117629805396784,0.0770391348988604,-2.48522896967796,-2.52581964017589,0.0405906704979236,8.07739987976334e-05,0.123436364971476,0.234962704032629,0.00012116099819645,0.144903558879559,0.576726637170999,"Similar"
"species:Gemella sanguinis",0.496908230837861,0.986904893103803,0.310027380635725,0.489996662265942,-0.186880850202136,0.676877512468078,0.00032332316409911,0.0249704624395244,0.948269868869202,0.000396805701394362,0.034058288638336,0.964502519016685,"Differential"
"species:Haemophilus parainfluenzae",2.30835275784144,5.06218077485122,5.376001382431,2.75382801700978,3.06764862458955,-0.313820607579777,2.60458321577062e-13,1.14241884840993e-08,0.313689575835863,1.00462495465438e-12,6.16906178141363e-08,0.691881869769749,"Similar"
"species:Rothia mucilaginosa",4.01594156660682,6.34077862087951,6.23444465561667,2.32483705427269,2.21850308900985,0.106333965262842,7.87874210317341e-11,2.21524457733047e-06,0.492843409747866,2.12726036785682e-10,5.98116035879226e-06,0.825238760329729,"Similar"
"species:Staphylococcus epidermidis",11.0338508573762,12.3387924419362,10.463268378864,1.30494158456005,-0.570582478512206,1.87552406307226,0.000126030289508527,0.585018865130231,0.00935129463056894,0.00017909567456475,0.607519590712163,0.126242477512681,"Differential"
"species:Staphylococcus haemolyticus",1.78127189595749,2.40950776634315,1.44959889462491,0.628235870385655,-0.331673001332586,0.95990887171824,0.00593617851856476,0.168056544074296,0.750512529394709,0.00641107280004994,0.189063612083583,0.931109975855415,"Differential"
"species:Staphylococcus hominis",6.70452572152099,4.02438091400025,2.20049726419565,-2.68014480752074,-4.50402845732534,1.8238836498046,8.42622989689191e-07,7.46837316698211e-07,0.0828133157492748,1.51672138144054e-06,2.88065822155024e-06,0.534474335289812,"Similar"
"species:Streptococcus mitis",5.98405480937802,6.60510809792459,6.20413771954621,0.621053288546569,0.220082910168184,0.400970378378385,0.0799826385800413,0.677551722435854,0.511284538506406,0.0799826385800413,0.677551722435854,0.825238760329729,"Quantitative_difference"
"species:Streptococcus thermophilus",1.2706233854221,1.50395798615496,1.28828730450798,0.233334600732852,0.0176639190858741,0.215670681646978,0.0131743013931713,0.0363198184471669,0.51197439740309,0.0136810052929087,0.0466969094320718,0.825238760329729,"Quantitative_difference"
"species:Veillonella infantium",1.23094572860354,4.11594112279933,3.46946849216075,2.88499539419579,2.23852276355721,0.64647263063858,0,5.74104319639446e-10,0.930353742530004,0,5.16693887675501e-09,0.964502519016685,"Similar"
"species:Veillonella parvula",1.80834109710838,6.1322212399687,5.04497375968594,4.32388014286032,3.23663266257756,1.08724748028276,0,1.75852665762477e-11,0.519594775022422,0,4.74802197558688e-10,0.825238760329729,"Similar"
