"taxon","clr_vaginal","clr_csection","clr_diff","p","fdr"
"species:Veillonella parvula",-1.15826071615573,1.37173145537909,2.52999217153481,1.93380467306591e-23,8.12197962687681e-22
"species:Veillonella infantium",-1.52929433688943,0.204977452703667,1.73427178959309,2.05850804116514e-22,4.32286688644679e-21
"species:Veillonella dispar",-1.15715274449523,0.799226226536763,1.95637897103199,6.87699991310811e-20,9.62779987835135e-19
"species:Haemophilus parainfluenzae",-0.84165449175499,1.37960287760091,2.2212573693559,7.42741715067323e-18,7.79878800820689e-17
"species:Veillonella sp. T11011-6",-1.70284001030743,-0.55672837931095,1.14611163099648,6.73814246222537e-16,5.66003966826931e-15
"species:Bifidobacterium longum",3.56323508146205,-0.680973254260875,-4.24420833572293,1.77635683940025e-15,1.24344978758018e-14
"species:Rothia mucilaginosa",0.0402227009262237,1.91452878132452,1.87430608039829,6.63854697313524e-14,3.98312818388115e-13
"species:Escherichia coli",4.51500260523046,0.228354124385712,-4.28664848084475,4.28324042900385e-13,2.24870122522702e-12
"species:Clostridium perfringens",-1.1734604830189,0.654588632075499,1.82804911509439,3.61653805441979e-12,1.68771775872923e-11
"species:Phocaeicola vulgatus",1.16265401605403,-1.93466701311565,-3.09732102916967,3.2005509353894e-11,1.34423139286355e-10
"genus:Enterobacter",-1.35690858981373,0.259630342955503,1.61653893276924,4.99224988550123e-11,1.90613177446411e-10
"species:Enterococcus faecalis",2.94703029187201,5.23991383402141,2.29288354214939,4.59864752797978e-09,1.60952663479292e-08
"species:Haemophilus haemolyticus",-1.96339674557409,-1.07802170976606,0.885375035808027,3.26224286842494e-08,1.05395538826036e-07
"species:Klebsiella oxytoca",-1.53468978948713,-0.567443500195576,0.967246289291558,1.43448872734088e-07,4.30346618202264e-07
"species:Veillonella atypica",-1.62240974201822,-0.96680258059052,0.655607161427701,4.13424666139071e-07,1.1575890651894e-06
"species:Bacteroides uniformis",0.213940777628474,-1.89997742547829,-2.11391820310676,6.02811362604427e-07,1.58237982683662e-06
"species:Klebsiella michiganensis",-1.65694530851249,-0.794714784007005,0.862230524505483,7.34958553041815e-07,1.8157799545739e-06
"species:Parabacteroides distasonis",0.432880608867976,-1.83569224320715,-2.26857285207512,2.95469689270966e-06,6.89429274965588e-06
"species:Gemella sanguinis",-1.86603852701311,-1.50981755079068,0.356220976222426,6.65977341808758e-06,1.47216043978778e-05
"species:Streptococcus vestibularis",-0.0603050438203718,0.670616237934304,0.730921281754676,7.721622840307e-05,0.000162154079646447
"species:Streptococcus mitis",0.983783343922318,1.87846557169207,0.894682227769755,0.000105955960494744,0.000211911920989489
"species:Klebsiella pneumoniae",-0.731817222404041,-0.137312169733251,0.59450505267079,0.000175234146495051,0.000334537916036007
"species:Streptococcus infantis",-1.0402966464373,-0.388382672827683,0.651913973609615,0.000235137010431138,0.000429380627743817
"species:Staphylococcus haemolyticus",-1.01568281400012,-0.208243474488887,0.807439339511228,0.000442652263833112,0.000774641461707947
"species:Staphylococcus epidermidis",4.88658057994261,5.96290609508953,1.07632551514692,0.000469137676037089,0.000788151295742309
"species:Klebsiella variicola",-1.14372135855906,-0.679343776682021,0.464377581877035,0.000534475451686624,0.000863383421955315
"species:Klebsiella quasipneumoniae",-1.32627403827605,-0.932030825682342,0.394243212593705,0.000864980095355494,0.00134552459277521
"species:Staphylococcus hominis",1.73738929596986,0.345434289605351,-1.39195500636451,0.00101187083793053,0.00151780625689579
"species:Streptococcus thermophilus",-1.42735492565876,-1.14857958686168,0.278775338797073,0.00122363644525716,0.00177216312761382
"species:Bifidobacterium breve",1.2806071557888,-0.416530643079698,-1.6971377988685,0.00260170618156241,0.00364238865418738
"species:Bifidobacterium adolescentis",-0.232871628746852,-1.98450160910986,-1.75162998036301,0.0027689097318131,0.00374257814443669
"species:Streptococcus parasanguinis",2.87444473658967,3.69965999868702,0.825215262097351,0.002851488110047,0.00374257814443669
"species:Phocaeicola dorei",-0.303988564257754,-1.89238229847043,-1.58839373421268,0.0315181819805987,0.0401140497934893
"species:Collinsella aerofaciens",-0.45712078900137,-1.8465962719074,-1.38947548290603,0.0523933417701403,0.0647211868925263
"species:Bifidobacterium bifidum",0.428062163603526,-1.59186970388742,-2.01993186749094,0.145157953546751,0.17080232230181
"species:Staphylococcus lugdunensis",-0.821897168396041,-0.575190785423828,0.246706382972213,0.146401990544409,0.17080232230181
"genus:Streptococcus",-1.27710675197201,-1.43439029845116,-0.157283546479145,0.169592199490844,0.192510064286904
"species:Gemella haemolysans",0.225851522549748,0.416083042097126,0.190231519547379,0.238436881972792,0.263535501127823
"species:Aeriscardovia aeriphila",-1.33070928512064,-1.70209772801581,-0.371388442895168,0.28953545747857,0.311807415746152
"species:Staphylococcus aureus",-0.580061797571466,-0.754531812333609,-0.174470014762143,0.3010469165362,0.31609926236301
"species:Streptococcus salivarius",4.41214745870742,4.33237442437991,-0.0797730343275038,0.418435196173763,0.428640932665806
"species:Bacteroides fragilis",-0.391572819852883,-1.84127128879055,-1.44969846893767,0.619357637251014,0.619357637251014
