"short","baseline_direction","class","gap_d0_7","gap_d91p","attenuation_pct","dominant","cs_effect","abx_effect","pattern","elective_vs_vag","emergency_vs_vag"
"Haemophilus parainfluenzae","CS-enriched","attenuated",2.82135903383074,0.285475652180427,89.8816262390817,"CS-dominant",2.59716019194117,0.717339070492968,"Similar",2.75382801700978,3.06764862458955
"Veillonella infantium","CS-enriched","attenuated",2.74588103064065,0.777577390772034,71.6820436830574,"CS-dominant",1.65887840643277,-0.811946095784841,"Similar",2.88499539419579,2.23852276355721
"Enterococcus faecalis","CS-enriched","attenuated",2.49827986393066,1.0158058597401,59.3397891723032,"CS-dominant",1.93758525199036,0.446431783722275,"Similar",2.69390049212047,1.78483992582665
"Rothia mucilaginosa","CS-enriched","attenuated",2.30195506174778,0.0548551919291351,97.6170172545642,"CS-dominant",1.85083622025746,-0.38564217849304,"Similar",2.32483705427269,2.21850308900985
"Clostridium perfringens","CS-enriched","attenuated",2.24975288852903,0.903228088573513,59.8521200626582,"Both contribute",0.920419566430168,-0.890958567109762,"Similar",2.2847288311055,2.12219356854424
"Klebsiella michiganensis","CS-enriched","attenuated",1.17096547418958,0.0923870098057646,92.1101849847704,"CS-dominant",0.822144980713979,0.0598362024937424,"Quantitative_difference",0.886535597180197,2.20829796681206
"Streptococcus mitis","CS-enriched","attenuated",0.534768523579068,0.0178563253466244,96.6609243889082,"Antibiotic-dominant",-0.280504897922317,-2.24934332788086,"Quantitative_difference",0.621053288546569,0.220082910168184
"Staphylococcus haemolyticus","CS-enriched","attenuated",0.421673201788058,0.0654008773936344,84.490150876008,"Antibiotic-dominant",0.199306797882823,1.0697558730418,"Differential",0.628235870385655,-0.331673001332586
"Veillonella parvula","CS-enriched","closed_or_reversed",4.08991549520454,-0.0648309899526485,98.4148574700709,"CS-dominant",2.62542610798633,-0.234931539707143,"Similar",4.32388014286032,3.23663266257756
"Veillonella dispar","CS-enriched","closed_or_reversed",2.92550555469994,-0.00214098114494199,99.9268167123627,"Both contribute",1.69338879531903,-0.929453211543898,"Similar",3.07376391269561,2.38479860200984
"Enterobacter","CS-enriched","closed_or_reversed",1.99076391418042,-0.405372900065329,79.6373192633333,"CS-dominant",2.03138274593918,0.966397702019383,"Similar",1.9130735142974,2.27410537257734
"Klebsiella oxytoca","CS-enriched","closed_or_reversed",1.41825899406494,-0.156406626239888,88.9719277724019,"Both contribute",1.02057277049191,0.717512434961549,"Similar",1.33234251408925,1.73160145044689
"Haemophilus haemolyticus","CS-enriched","closed_or_reversed",1.08286177768003,-0.110426395897181,89.8023553722837,"Both contribute",0.631011623824242,-0.412269922311298,"Quantitative_difference",1.23587074569117,0.524829070815894
"Staphylococcus epidermidis","CS-enriched","closed_or_reversed",0.901347798835644,-0.0277341618785111,96.9230343809196,"Antibiotic-dominant",0.0618848453310061,-2.1526002592381,"Differential",1.30494158456005,-0.570582478512206
"Streptococcus thermophilus","CS-enriched","persists",0.186924454049325,0.136624617384657,26.9091793904052,"CS-dominant",0.579653946108325,0.212124190876295,"Quantitative_difference",0.233334600732852,0.0176639190858741
"Streptococcus parasanguinis","CS-enriched","widened",0.707597496031434,-0.951465982072609,-34.4642946602995,"Antibiotic-dominant",-0.00517035568733437,-1.09699534588706,"Similar",0.736652906529828,0.601630704802
"Gemella sanguinis","CS-enriched","widened",0.344339476038634,-0.519483368786019,-50.86372749424,"Antibiotic-dominant",0.00286375982767884,-0.485083698889579,"Differential",0.489996662265942,-0.186880850202136
"Bifidobacterium adolescentis","Vaginal-enriched","attenuated",-2.57482996753899,-0.288979481088897,88.776754786449,"Both contribute",-1.89298700252724,-1.43333040569314,"Similar",-2.55902908121067,-2.63245672944226
"Bifidobacterium breve","Vaginal-enriched","attenuated",-2.51584715756562,-0.662716026541737,73.6583351437376,"Both contribute",-2.19609111109321,-1.50527957293291,"Similar",-2.38047005805329,-3.00957540284586
"Bifidobacterium longum","Vaginal-enriched","closed_or_reversed",-5.9626189937798,0.584960254091781,90.1895416309174,"Both contribute",-4.79202016517839,-3.72547471338166,"Similar",-5.73445513434691,-6.79474601053505
"Escherichia coli","Vaginal-enriched","closed_or_reversed",-5.87443544419729,0.770371517677548,86.8860331346647,"CS-dominant",-4.77308258585501,-0.626487904945695,"Similar",-5.79075067874283,-6.17963870644294
"Staphylococcus hominis","Vaginal-enriched","closed_or_reversed",-3.07262609925085,0.236641441057259,92.2983977414318,"Both contribute",-3.68547351265283,-2.82807830420513,"Similar",-2.68014480752074,-4.50402845732534
"Phocaeicola vulgatus","Vaginal-enriched","persists",-4.85442775588436,-3.8058190734654,21.6010771021956,"CS-dominant",-4.06053784240872,-1.52989769932097,"Similar",-4.88253002152998,-4.75193714000032
"Parabacteroides distasonis","Vaginal-enriched","persists",-3.63491427808848,-2.95127199787594,18.8076589407784,"CS-dominant",-3.467577366532,-0.824311246048369,"Similar",-3.74327795231067,-3.23970558386638
"Collinsella aerofaciens","Vaginal-enriched","persists",-2.49396367092435,-1.93387218394336,22.4578847523228,"Both contribute",-1.80723099380781,-1.52269841961924,"Similar",-2.48522896967796,-2.52581964017589
"Bacteroides uniformis","Vaginal-enriched","widened",-3.49809723342948,-4.15673577387492,-18.8284800705701,"CS-dominant",-3.17100722309721,-0.660043593387906,"Similar",-3.54651748051291,-3.3215057440664
"Phocaeicola dorei","Vaginal-enriched","widened",-2.78399037628931,-2.92419524683494,-5.03611189678428,"Both contribute",-2.0961807008651,-1.2005711674292,"Similar",-2.79911453933449,-2.72883166400689
