"species","gap_d0_7","gap_d8_30","gap_d91p","attenuation_pct","class","baseline_direction"
"species:Bacteroides uniformis",-3.49809723342948,-4.28724191752244,-4.15673577387492,-18.8284800705701,"widened","Vaginal-enriched"
"species:Bifidobacterium adolescentis",-2.57482996753899,-2.58290217252106,-0.288979481088897,88.776754786449,"attenuated","Vaginal-enriched"
"species:Bifidobacterium longum",-5.9626189937798,-4.28749011389552,0.584960254091781,90.1895416309174,"closed_or_reversed","Vaginal-enriched"
"species:Clostridium perfringens",2.24975288852903,4.92313427985948,0.903228088573513,59.8521200626582,"attenuated","CS-enriched"
"genus:Enterobacter",1.99076391418042,2.02740259447375,-0.405372900065329,79.6373192633333,"closed_or_reversed","CS-enriched"
"species:Enterococcus faecalis",2.49827986393066,2.9900330161242,1.0158058597401,59.3397891723032,"attenuated","CS-enriched"
"species:Escherichia coli",-5.87443544419729,-4.61661363523482,0.770371517677548,86.8860331346647,"closed_or_reversed","Vaginal-enriched"
"species:Haemophilus haemolyticus",1.08286177768003,0.0765416851738473,-0.110426395897181,89.8023553722837,"closed_or_reversed","CS-enriched"
"species:Klebsiella michiganensis",1.17096547418958,1.87990937388788,0.0923870098057646,92.1101849847704,"attenuated","CS-enriched"
"species:Klebsiella oxytoca",1.41825899406494,2.82687678454225,-0.156406626239888,88.9719277724019,"closed_or_reversed","CS-enriched"
"species:Parabacteroides distasonis",-3.63491427808848,-4.55361697221907,-2.95127199787594,18.8076589407784,"persists","Vaginal-enriched"
"species:Phocaeicola dorei",-2.78399037628931,-3.11094784101595,-2.92419524683494,-5.03611189678428,"widened","Vaginal-enriched"
"species:Phocaeicola vulgatus",-4.85442775588436,-4.06104885491787,-3.8058190734654,21.6010771021956,"persists","Vaginal-enriched"
"species:Streptococcus parasanguinis",0.707597496031434,0.18511078288226,-0.951465982072609,-34.4642946602995,"widened","CS-enriched"
"species:Veillonella dispar",2.92550555469994,1.58635650553053,-0.00214098114494199,99.9268167123627,"closed_or_reversed","CS-enriched"
"species:Bifidobacterium breve",-2.51584715756562,-1.04604639374222,-0.662716026541737,73.6583351437376,"attenuated","Vaginal-enriched"
"species:Collinsella aerofaciens",-2.49396367092435,-3.56255756963568,-1.93387218394336,22.4578847523228,"persists","Vaginal-enriched"
"species:Gemella sanguinis",0.344339476038634,0.240372664632972,-0.519483368786019,-50.86372749424,"widened","CS-enriched"
"species:Haemophilus parainfluenzae",2.82135903383074,0.338828750831736,0.285475652180427,89.8816262390817,"attenuated","CS-enriched"
"species:Rothia mucilaginosa",2.30195506174778,0.488695620773812,0.0548551919291351,97.6170172545642,"attenuated","CS-enriched"
"species:Staphylococcus epidermidis",0.901347798835644,1.12328792835069,-0.0277341618785111,96.9230343809196,"closed_or_reversed","CS-enriched"
"species:Staphylococcus haemolyticus",0.421673201788058,-0.122404882905234,0.0654008773936344,84.490150876008,"attenuated","CS-enriched"
"species:Staphylococcus hominis",-3.07262609925085,-2.59141832172818,0.236641441057259,92.2983977414318,"closed_or_reversed","Vaginal-enriched"
"species:Streptococcus mitis",0.534768523579068,0.744121677539226,0.0178563253466244,96.6609243889082,"attenuated","CS-enriched"
"species:Streptococcus thermophilus",0.186924454049325,0.389559615506136,0.136624617384657,26.9091793904052,"persists","CS-enriched"
"species:Veillonella infantium",2.74588103064065,1.48051747178396,0.777577390772034,71.6820436830574,"attenuated","CS-enriched"
"species:Veillonella parvula",4.08991549520454,1.97562734250052,-0.0648309899526485,98.4148574700709,"closed_or_reversed","CS-enriched"
